time,Lat,Lon,Alt,pressure,temp,humidity
12:35:45,420276457,-936541876,264653,99382,-573,56643
12:35:45,420276457,-936541876,264653,99380,-572,56681
12:35:45,420276457,-936541876,264653,99380,-571,56729
12:35:45,420276457,-936541876,264653,99380,-570,56798
12:35:45,420276457,-936541876,264653,99382,-570,56881
12:35:45,420276457,-936541876,264653,99380,-570,56987
12:35:45,420276457,-936541876,264653,99382,-571,57082
12:35:45,420276457,-936541876,264653,99384,-571,57188
12:35:45,420276457,-936541876,264653,99382,-572,57255
12:35:45,420276457,-936541876,264653,99382,-572,57329
12:35:45,420276457,-936541876,264653,99382,-573,57380
12:35:45,420276457,-936541876,264653,99380,-573,57451
12:35:45,420276457,-936541876,264653,99384,-575,57509
12:35:45,420276457,-936541876,264653,99384,-580,57574
12:35:45,420276457,-936541876,264653,99380,-585,57602
12:35:45,420276457,-936541876,264653,99380,-588,57609
12:35:45,420276457,-936541876,264653,99380,-588,57603
12:35:45,420276457,-936541876,264653,99382,-587,57596
12:35:45,420276457,-936541876,264653,99382,-587,57577
12:35:45,420276457,-936541876,264653,99382,-587,57554
12:35:45,420276457,-936541876,264653,99384,-591,57453
12:35:45,420276457,-936541876,264653,99382,-595,57397
12:35:45,420276457,-936541876,264653,99382,-599,57345
12:35:45,420276457,-936541876,264653,99378,-602,57297
12:35:45,420276457,-936541876,264653,99380,-606,57219
12:35:45,420276457,-936541876,264653,99380,-608,57215
12:35:45,420276457,-936541876,264653,99380,-610,57204
12:35:45,420276457,-936541876,264653,99380,-611,57217
12:35:45,420276457,-936541876,264653,99382,-611,57236
12:35:45,420276457,-936541876,264653,99380,-612,57237
12:35:45,420276457,-936541876,264653,99382,-613,57243
12:35:45,420276457,-936541876,264653,99380,-613,57256
12:35:45,420276457,-936541876,264653,99380,-614,57291
12:35:45,420276457,-936541876,264653,99382,-612,57339
12:35:45,420276457,-936541876,264653,99384,-611,57425
12:35:45,420276457,-936541876,264653,99382,-608,57481
12:35:45,420276457,-936541876,264653,99384,-605,57546
12:35:45,420276457,-936541876,264653,99382,-603,57609
12:35:45,420276457,-936541876,264653,99384,-604,57647
12:35:45,420276457,-936541876,264653,99382,-604,57708
12:35:45,420276457,-936541876,264653,99384,-605,57837
12:35:45,420276457,-936541876,264653,99384,-606,58010
12:35:45,420276457,-936541876,264653,99386,-608,58196
12:35:45,420276457,-936541876,264653,99386,-609,58306
12:35:45,420276457,-936541876,264653,99384,-611,58390
12:39:01,420276469,-936541554,263017,99386,-611,58409
12:39:04,420276480,-936541559,262980,99386,-611,58390
12:39:06,420276475,-936541558,263273,99386,-613,58340
12:39:08,420276468,-936541561,263598,99384,-613,58314
12:39:11,420276449,-936541571,264049,99384,-614,58260
12:39:13,420276446,-936541584,264214,99384,-615,58164
12:39:15,420276440,-936541593,264380,99384,-616,58142
12:39:17,420276436,-936541599,264533,99384,-617,58071
12:39:20,420276434,-936541613,264669,99382,-619,58034
12:39:22,420276433,-936541625,264715,99384,-623,57967
12:39:24,420276416,-936541657,264649,99384,-625,57951
12:39:26,420276417,-936541663,264609,99384,-627,57916
12:39:29,420276411,-936541682,264679,99388,-626,57876
12:39:31,420276422,-936541700,264931,99388,-629,57834
12:39:33,420276466,-936541722,264995,99388,-631,57821
12:39:36,420276539,-936541755,265012,99388,-631,57827
12:39:38,420276518,-936541687,265061,99386,-631,57878
12:39:40,420276490,-936541631,264735,99386,-630,57878
12:39:42,420276455,-936541618,264199,99388,-629,57904
12:39:45,420276449,-936541599,264315,99386,-629,57923
12:39:47,420276406,-936541616,264262,99386,-630,57923
12:39:49,420276383,-936541606,264566,99388,-629,57962
12:39:49,420276383,-936541606,264566,99386,-628,58022
12:39:52,420276369,-936541616,264877,99386,-629,58000
12:39:54,420276390,-936541621,264591,99388,-628,58067
12:39:56,420276427,-936541606,265281,99386,-627,58093
12:39:58,420276477,-936541579,266084,99386,-626,58085
12:40:00,420276502,-936541571,267394,99384,-626,58085
12:40:02,420276548,-936541546,268493,99386,-626,58085
12:40:04,420276668,-936541429,268868,99386,-626,58079
12:40:08,420277148,-936541384,271735,99386,-628,58054
12:40:11,420277199,-936541391,272187,99388,-633,58052
12:40:13,420277242,-936541396,272087,99390,-635,58034
12:40:15,420277145,-936541316,271311,99384,-637,58010
12:40:17,420277039,-936541320,271163,99386,-639,58020
12:40:20,420276865,-936541420,270467,99384,-640,58061
12:40:22,420276787,-936541467,269829,99384,-643,58075
12:40:24,420276759,-936541489,269561,99388,-644,58101
12:40:26,420276731,-936541506,269188,99386,-645,58145
12:40:29,420276691,-936541511,268737,99388,-646,58165
12:40:31,420276668,-936541510,268484,99388,-648,58185
12:40:33,420276628,-936541536,268513,99386,-649,58199
12:40:36,420276613,-936541543,268658,99388,-650,58199
12:40:38,420276603,-936541553,268859,99386,-653,58207
12:40:40,420276585,-936541550,268782,99388,-655,58223
12:40:42,420276567,-936541562,268781,99386,-657,58226
12:40:45,420276546,-936541571,268864,99386,-660,58224
12:40:47,420276545,-936541559,269009,99386,-663,58270
12:40:49,420276538,-936541555,268883,99386,-667,58285
12:40:51,420276526,-936541558,268825,99388,-670,58304
12:40:54,420276507,-936541546,268800,99388,-672,58352
12:40:56,420276495,-936541539,268686,99384,-674,58405
12:40:58,420276477,-936541534,268668,99384,-674,58443
12:41:00,420276473,-936541540,268545,99384,-674,58475
12:41:03,420276463,-936541550,268434,99384,-675,58520
12:41:05,420276466,-936541552,268129,99386,-678,58516
12:41:07,420276468,-936541561,267949,99386,-680,58558
12:41:10,420276479,-936541566,267283,99388,-680,58594
12:41:12,420276482,-936541575,267001,99388,-682,58645
12:41:14,420276481,-936541573,266936,99388,-682,58703
12:41:16,420276485,-936541568,266540,99388,-683,58762
12:41:19,420276478,-936541573,266388,99388,-683,58814
12:41:21,420276479,-936541578,266209,99388,-685,58918
12:41:23,420276481,-936541579,265984,99388,-685,59012
12:41:26,420276483,-936541590,265365,99391,-684,59127
12:41:28,420276484,-936541584,265316,99391,-685,59235
12:41:31,420276484,-936541591,265126,99393,-685,59344
12:41:33,420276479,-936541599,265127,99393,-687,59416
12:41:35,420276479,-936541608,264984,99393,-687,59468
12:41:38,420276466,-936541631,265217,99395,-688,59522
12:41:40,420276463,-936541633,264975,99397,-690,59574
12:41:43,420276444,-936541673,265084,99395,-690,59600
12:41:45,420276443,-936541691,265128,99395,-693,59634
12:41:47,420276440,-936541706,265102,99395,-695,59660
12:41:50,420276428,-936541721,265063,99395,-696,59699
12:41:52,420276430,-936541715,264923,99397,-698,59700
12:41:54,420276439,-936541709,264790,99397,-698,59771
12:41:57,420276442,-936541714,264865,99395,-697,59800
12:41:59,420276453,-936541729,264992,99395,-699,59827
12:42:02,420276447,-936541731,265421,99393,-698,59885
12:42:04,420276447,-936541740,265464,99393,-698,59957
12:42:07,420276440,-936541723,265706,99391,-696,60005
12:42:07,420276440,-936541723,265706,99393,-696,60076
12:42:07,420276440,-936541723,265706,99391,-691,60143
12:42:07,420276440,-936541723,265706,99395,-687,60126
12:42:15,420276479,-936541658,265210,99393,-684,60310
12:42:17,420276484,-936541658,265069,99393,-683,60463
12:42:19,420276492,-936541655,264921,99395,-683,60632
12:42:22,420276530,-936541658,264568,99391,-681,60846
12:42:24,420276537,-936541665,264250,99393,-681,61104
12:42:27,420276543,-936541675,263926,99391,-680,61274
12:42:29,420276540,-936541680,263801,99391,-680,61493
12:42:31,420276538,-936541689,263251,99391,-680,61640
12:42:34,420276521,-936541700,263011,99393,-680,61739
12:42:36,420276543,-936541621,263569,99397,-681,61847
12:42:38,420276496,-936541608,263629,99397,-680,61912
12:42:41,420276351,-936541696,264082,99399,-679,61957
12:42:43,420276358,-936541701,264102,99401,-679,61944
12:42:46,420276393,-936541703,264255,99401,-678,61970
12:42:48,420276418,-936541730,263697,99403,-678,61957
12:42:50,420276445,-936541729,263885,99405,-677,61993
12:42:53,420276475,-936541769,263590,99401,-675,62018
12:42:55,420276496,-936541770,263670,99403,-677,62006
12:42:58,420276495,-936541764,263820,99405,-676,62026
12:43:00,420276478,-936541752,263869,99407,-677,62006
12:43:03,420276436,-936541745,264058,99407,-677,61993
12:43:05,420276425,-936541727,264215,99405,-676,61980
12:43:07,420276427,-936541720,264184,99405,-675,61959
12:43:10,420276413,-936541730,264269,99403,-675,61920
12:43:12,420276401,-936541725,264241,99403,-675,61857
12:43:15,420276412,-936541710,264232,99405,-674,61851
12:43:17,420276416,-936541702,264371,99407,-674,61837
12:43:19,420276410,-936541692,264416,99405,-673,61899
12:43:22,420276377,-936541667,264921,99403,-673,61971
12:43:24,420276368,-936541654,264961,99409,-673,62030
12:43:27,420276362,-936541661,265276,99405,-672,62113
12:43:29,420276374,-936541668,265495,99405,-672,62178
12:43:31,420276390,-936541676,265499,99405,-671,62246
12:43:34,420276408,-936541688,265586,99405,-670,62348
12:43:36,420276422,-936541700,265457,99407,-672,62510
12:43:38,420276436,-936541707,265342,99405,-672,62615
12:43:41,420276463,-936541719,265235,99405,-672,62711
12:43:43,420276475,-936541733,264926,99403,-674,62738
12:43:46,420276486,-936541749,264769,99403,-674,62764
12:43:48,420276469,-936541760,264443,99405,-675,62731
12:43:50,420276463,-936541760,264441,99405,-675,62712
12:43:53,420276461,-936541755,264148,99405,-675,62675
12:43:55,420276461,-936541750,263952,99405,-677,62571
12:43:58,420276460,-936541734,263654,99407,-677,62525
12:44:00,420276466,-936541718,263554,99405,-678,62437
12:44:02,420276464,-936541703,263486,99407,-677,62390
12:44:05,420276450,-936541689,263018,99407,-676,62331
12:44:07,420276446,-936541680,262912,99405,-678,62276
12:44:10,420276447,-936541677,262908,99405,-680,62250
12:44:12,420276461,-936541684,263169,99407,-684,62225
12:44:14,420276478,-936541686,263564,99409,-684,62212
12:44:17,420276512,-936541686,264475,99409,-687,62177
12:44:19,420276545,-936541679,265031,99407,-690,62122
12:44:22,420276567,-936541674,265580,99405,-692,62106
12:44:24,420276564,-936541678,265659,99405,-696,62035
12:44:26,420276577,-936541679,265834,99407,-698,62012
12:44:29,420276586,-936541684,266008,99407,-700,61968
12:44:31,420276603,-936541690,266402,99407,-704,61915
12:44:34,420276633,-936541694,267192,99409,-706,61883
12:44:36,420276635,-936541695,267702,99409,-708,61832
12:44:38,420276637,-936541688,268057,99409,-708,61832
12:44:41,420276645,-936541693,268239,99409,-708,61806
12:44:43,420276651,-936541703,268213,99409,-709,61770
12:44:46,420276647,-936541720,268024,99409,-709,61764
12:44:48,420276637,-936541731,268032,99411,-710,61744
12:44:50,420276617,-936541741,267939,99407,-711,61731
12:44:53,420276602,-936541733,268052,99409,-711,61692
12:44:55,420276596,-936541736,267940,99411,-712,61699
12:44:58,420276625,-936541713,268352,99411,-712,61686
12:45:00,420276627,-936541703,268640,99405,-711,61738
12:45:02,420276627,-936541691,269146,99403,-711,61744
12:45:05,420276636,-936541663,269854,99405,-710,61750
12:45:07,420276636,-936541653,270104,99405,-710,61796
12:45:09,420276637,-936541643,270385,99401,-709,61803
12:45:12,420276633,-936541596,271130,99403,-708,61812
12:45:14,420276640,-936541569,271344,99401,-708,61865
12:45:17,420276626,-936541524,271391,99397,-707,61910
12:45:19,420276579,-936541519,271000,99397,-707,61943
12:45:21,420276604,-936541541,270812,99399,-706,61968
12:45:24,420276697,-936541490,271618,99397,-705,62044
12:45:26,420276733,-936541461,271857,99397,-705,62156
12:45:29,420276780,-936541426,272299,99397,-704,62237
12:45:31,420276821,-936541398,273425,99397,-704,62316
12:45:33,420276842,-936541387,273699,99399,-703,62352
12:45:36,420276864,-936541457,272455,99397,-702,62414
12:45:38,420276866,-936541504,271214,99397,-702,62447
12:45:41,420276866,-936541530,270149,99397,-701,62467
12:45:43,420276857,-936541533,269256,99397,-701,62473
12:45:45,420276853,-936541549,268792,99397,-700,62480
12:45:48,420276848,-936541568,268338,99397,-700,62434
12:45:50,420276835,-936541593,267724,99399,-701,62414
12:45:53,420276807,-936541611,267199,99401,-700,62467
12:45:55,420276779,-936541618,267146,99403,-702,62486
12:45:57,420276742,-936541630,267072,99403,-703,62540
12:46:00,420276703,-936541641,266781,99405,-703,62560
12:46:02,420276681,-936541647,266648,99407,-705,62537
12:46:05,420276649,-936541651,266710,99407,-706,62570
12:46:07,420276627,-936541659,266363,99407,-709,62542
12:46:09,420276598,-936541668,266150,99403,-711,62549
12:46:12,420276570,-936541677,266214,99405,-712,62543
12:46:14,420276556,-936541683,266199,99405,-715,62537
12:46:16,420276548,-936541688,266152,99407,-716,62515
12:46:19,420276536,-936541697,265981,99407,-717,62511
12:46:21,420276525,-936541710,265884,99405,-719,62488
